,token,index
589,기다렸_,589
590,어쩐지_,590
591,은가요_,591
592,건너편_,592
593,바꿔야_,593
594,지난달_,594
595,로부터_,595
596,항공편_,596
597,신청서_,597
598,어딘지_,598
599,나와요_,599
600,볶음밥_,600
601,가르쳐_,601
602,퍼런스_,602
603,아닌가_,603
604,아파트_,604
605,고양이_,605
606,영양제_,606
607,걸려요_,607
608,아저씨_,608
609,드려서_,609
610,면세품_,610
611,판매량_,611
612,으려면_,612
613,복숭아_,613
614,살펴보_,614
615,신상품_,615
616,계산서_,616
617,관광객_,617
618,테스트_,618
619,시간표_,619
620,청소기_,620
621,영화관_,621
622,뮤지컬_,622
623,심해서_,623
624,줄래요_,624
625,운전자_,625
626,스케줄_,626
627,으실까_,627
628,다니까_,628
629,심지어_,629
630,경쟁사_,630
631,보여요_,631
632,영업부_,632
633,가까이_,633
634,충전기_,634
635,여러분_,635
636,못해서_,636
637,정말로_,637
638,케이션_,638
639,손가락_,639
640,토마토_,640
641,리스트_,641
642,주머니_,642
643,스포츠_,643
644,자격증_,644
645,다녀왔_,645
646,걸려서_,646
647,할머니_,647
648,표지판_,648
649,올라오_,649
650,카페인_,650
651,간호사_,651
652,반대쪽_,652
653,걸까요_,653
654,그만큼_,654
655,박람회_,655
656,혹시나_,656
657,어야지_,657
658,헷갈리_,658
659,케이스_,659
660,세미나_,660
661,듭니다_,661
662,전화기_,662
663,SNS_,663
664,도시락_,664
665,마스크_,665
666,다른데_,666
667,앞머리_,667
668,기억나_,668
669,찾아오_,669
670,아시아_,670
671,그래야_,671
672,똑같이_,672
673,조용히_,673
674,쓰레기_,674
675,따라오_,675
676,스티커_,676
677,배송지_,677
678,납니다_,678
679,닭고기_,679
680,명세서_,680
681,왔으니_,681
682,귀걸이_,682
683,줄게요_,683
684,비타민_,684
685,마우스_,685
686,떨어져_,686
687,도저히_,687
688,집니다_,688
689,솔직히_,689
690,따라가_,690
691,패키지_,691
692,매표소_,692
693,경찰서_,693
694,불러서_,694
695,관해서_,695
696,으라고_,696
697,간단히_,697
698,불고기_,698
699,일본어_,699
700,물어볼_,700
701,경기장_,701
702,셨으니_,702
703,글쎄요_,703
704,인터뷰_,704
705,포스터_,705
706,해져서_,706
707,갈아입_,707
708,기차역_,708
709,입학식_,709
710,음식물_,710
711,동물원_,711
712,대학생_,712
713,비빔밥_,713
714,주문서_,714
715,목걸이_,715
716,정수기_,716
717,꼼꼼히_,717
718,진료비_,718
719,가운데_,719
720,세탁기_,720
721,안내소_,721
722,뒷자리_,722
723,캐리어_,723
724,그만두_,724
725,관광지_,725
726,가벼운_,726
727,프린터_,727
728,걸어야_,728
729,결혼식_,729
730,서둘러_,730
731,스러워_,731
732,보증금_,732
733,대학원_,733
734,깜빡하_,734
735,휴게소_,735
736,사라졌_,736
737,흔들리_,737
738,가격표_,738
739,청바지_,739
740,삼겹살_,740
741,아이디_,741
742,이대로_,742
743,에다가_,743
744,휴게실_,744
745,설거지_,745
746,사거리_,746
747,주소지_,747
748,티브이_,748
749,공연장_,749
750,숟가락_,750
751,캐릭터_,751
752,다녀온_,752
753,인원수_,753
754,돈가스_,754
755,챙겨서_,755
756,늘어나_,756
757,어두운_,757
758,넘어가_,758
759,구매자_,759
760,는다면_,760
761,시켜야_,761
762,당분간_,762
763,출퇴근_,763
764,설명서_,764
765,카운터_,765
766,블로그_,766
767,예뻐서_,767
768,기차표_,768
769,대사관_,769
770,난다고_,770
771,놨는데_,771
772,젓가락_,772
773,처방전_,773
774,어려웠_,774
775,감기약_,775
776,견적서_,776
777,경비실_,777
778,프런트_,778
779,가격대_,779
780,번호표_,780
781,찾아왔_,781
782,하반기_,782
783,신다는_,783
784,데려다_,784
785,해봐야_,785
786,줄어들_,786
787,항공권_,787
788,일회용_,788
789,이라도_,789
790,드셔도_,790
791,화이트_,791
792,비싼데_,792
793,계셔서_,793
794,테이션_,794
795,아세요_,795
796,유튜브_,796
797,어려우_,797
798,상대방_,798
799,교통비_,799
800,동영상_,800
801,문제없_,801
802,보라색_,802
803,아무런_,803
804,버려서_,804
805,상당히_,805
806,이력서_,806
807,포장지_,807
808,바닷가_,808
809,통신사_,809
810,부드럽_,810
811,깜빡했_,811
812,다시피_,812
813,일까요_,813
814,일어났_,814
815,어려움_,815
816,어젯밤_,816
817,달라지_,817
818,아닌지_,818
819,스피커_,819
820,공휴일_,820
821,리조트_,821
822,선크림_,822
823,떨어진_,823
824,기숙사_,824
825,진단서_,825
826,갈까요_,826
827,몰라요_,827
828,에센스_,828
829,쇼핑백_,829
830,그저께_,830
831,조심히_,831
832,시켜서_,832
833,여행사_,833
834,한국인_,834
835,라던데_,835
836,어떤지_,836
837,캐나다_,837
838,막혀서_,838
839,입장권_,839
840,월드컵_,840
841,사이드_,841
842,바꿔서_,842
843,달라요_,843
844,모닝콜_,844
845,으니깐_,845
846,기다릴_,846
847,리모컨_,847
848,사업자_,848
849,정해야_,849
850,게시판_,850
851,꽃다발_,851
852,프린트_,852
853,아픈데_,853
854,밀가루_,854
855,시끄럽_,855
856,글라스_,856
857,해봐도_,857
